lat,lon,year,day,location
70.61700400000002,-134.05325,2000,1,WesternArctic
70.94325,-135.00024,2000,1,WesternArctic
71.26325,-135.9795,2000,1,WesternArctic
71.578,-136.99225,2000,1,WesternArctic
71.88675,-138.03975,2000,1,WesternArctic
72.18875,-139.12274,2000,1,WesternArctic
72.48375,-140.24176,2000,1,WesternArctic
72.77175,-141.39899,2000,1,WesternArctic
73.05275,-142.59476,2000,1,WesternArctic
73.3255,-143.82974,2000,1,WesternArctic
73.59025,-145.105,2000,1,WesternArctic
73.8465,-146.42125,2000,1,WesternArctic
74.09375,-147.77875,2000,1,WesternArctic
74.33176,-149.17825,2000,1,WesternArctic
74.56,-150.61926,2000,1,WesternArctic
74.778244,-152.10299999999995,2000,1,WesternArctic
74.98575,-153.62798999999995,2000,1,WesternArctic
70.25399999999999,-131.27875,2000,1,WesternArctic
70.59575,-132.16125,2000,1,WesternArctic
70.93200999999998,-133.07501000000002,2000,1,WesternArctic
71.263245,-134.02051,2000,1,WesternArctic
71.58925,-135.0,2000,1,WesternArctic
71.90925,-136.014,2000,1,WesternArctic
72.22325,-137.06375,2000,1,WesternArctic
72.53075,-138.15076000000002,2000,1,WesternArctic
72.83175,-139.27576000000002,2000,1,WesternArctic
73.12601,-140.44025,2000,1,WesternArctic
73.4125,-141.64551,2000,1,WesternArctic
73.69124599999998,-142.89175,2000,1,WesternArctic
73.96175,-144.18074,2000,1,WesternArctic
74.22375500000003,-145.513,2000,1,WesternArctic
74.47725,-146.88875,2000,1,WesternArctic
74.721,-148.30927,2000,1,WesternArctic
74.95476,-149.7745,2000,1,WesternArctic
75.1785,-151.28476,2000,1,WesternArctic
75.39149499999998,-152.84024,2000,1,WesternArctic
70.20175,-129.42801,2000,1,WesternArctic
70.553,-130.2755,2000,1,WesternArctic
70.89975,-131.15425,2000,1,WesternArctic
71.24126,-132.06423999999998,2000,1,WesternArctic
71.578,-133.00775,2000,1,WesternArctic
71.90925,-133.986,2000,1,WesternArctic
72.23524499999998,-135.0,2000,1,WesternArctic
72.55450400000002,-136.05151,2000,1,WesternArctic
72.868,-137.14075,2000,1,WesternArctic
73.17474,-138.27051,2000,1,WesternArctic
73.47475,-139.4415,2000,1,WesternArctic
73.76725,-140.6545,2000,1,WesternArctic
74.05174,-141.91125,2000,1,WesternArctic
74.3285,-143.21275,2000,1,WesternArctic
74.597,-144.56024,2000,1,WesternArctic
74.855995,-145.95401,2000,1,WesternArctic
75.10574,-147.39551,2000,1,WesternArctic
75.34575,-148.8845,2000,1,WesternArctic
