lat,lon,year,day,sit
74.98575,-153.62798999999995,2011,7,0.44362092
70.25399999999999,-131.27875,2011,7,0.60424954
70.59575,-132.16125,2011,7,0.48826522
70.93200999999998,-133.07501000000002,2011,7,0.61378455
71.263245,-134.02051,2011,7,0.5291873
71.58925,-135.0,2011,7,0.62728274
71.90925,-136.014,2011,7,0.4982794
72.22325,-137.06375,2011,7,0.67677957
73.4125,-141.64551,2011,7,0.8424971
73.69124599999998,-142.89175,2011,7,0.68025994
73.96175,-144.18074,2011,7,0.72865087
74.22375500000003,-145.513,2011,7,0.5241938
74.47725,-146.88875,2011,7,0.33264112
74.721,-148.30927,2011,7,0.5829996000000001
74.95476,-149.7745,2011,7,0.51798916
75.1785,-151.28476,2011,7,0.40978923
75.39149499999998,-152.84024,2011,7,0.6110034000000001
70.20175,-129.42801,2011,7,0.66985583
70.553,-130.2755,2011,7,0.8167776
70.89975,-131.15425,2011,7,0.62706053
71.24126,-132.06423999999998,2011,7,0.70169723
71.578,-133.00775,2011,7,0.6457235
71.90925,-133.986,2011,7,0.6664922
72.23524499999998,-135.0,2011,7,0.63075626
72.55450400000002,-136.05151,2011,7,0.74402124
73.76725,-140.6545,2011,7,0.8925469000000001
74.05174,-141.91125,2011,7,0.89413655
74.3285,-143.21275,2011,7,0.6259036
74.597,-144.56024,2011,7,0.49021667
74.855995,-145.95401,2011,7,0.38099253
75.10574,-147.39551,2011,7,0.47235513
75.34575,-148.8845,2011,7,0.55587065
75.5755,-150.422,2011,7,0.41673720000000003
75.79425,-152.00799999999995,2011,7,0.5038317
70.48899999999998,-128.40024,2011,7,0.5174544
70.8455,-129.24174,2011,7,0.6654371
71.19749499999998,-130.11475,2011,7,0.42870948
71.544495,-131.02075,2011,7,0.7148806
71.88675,-131.96051,2011,7,0.71512747
72.22325,-132.93625,2011,7,0.8652726000000001
72.5545,-133.9485,2011,7,0.95098746
74.1165,-139.62,2011,7,0.8323647
74.40775,-140.886,2011,7,0.7730011999999999
74.6905,-142.19925,2011,7,0.59542227
74.96525600000002,-143.561,2011,7,0.48181868
75.2305,-144.97224,2011,7,0.42311943
75.487,-146.43375,2011,7,0.54283184
75.733246,-147.9465,2011,7,0.58357346
75.969,-149.511,2011,7,0.59961635
70.035,-125.7645,2011,7,0.48902349999999994
70.770004,-127.34225500000001,2011,7,0.56348836
71.13125,-128.1765,2011,7,0.5505619
71.48825,-129.04276000000002,2011,7,0.5036705
71.84075,-129.94275,2011,7,0.4551014
72.18875,-130.87775,2011,7,0.90596604
72.53075,-131.8495,2011,7,0.6432385
72.868,-132.85925,2011,7,1.0819206000000001
74.758,-139.81375,2011,7,0.8884389000000001
75.0475,-141.13725,2011,7,0.5478596
75.32825,-142.512,2011,7,0.57777226
75.6005,-143.93974,2011,7,0.5869589
75.8635,-145.4205,2011,7,0.5129117999999999
76.116,-146.95676,2011,7,0.71166444
76.35850500000002,-148.54825,2011,7,0.639744
69.92100500000001,-123.959,2011,7,0.38165957
70.298996,-124.695,2011,7,0.33479205
70.67325,-125.45975,2011,7,0.4195003
71.04375,-126.25399999999999,2011,7,0.5111853
71.4105,-127.0795,2011,7,0.5457659
71.77275,-127.9375,2011,7,0.58404005
72.13075,-128.83,2011,7,0.59685457
72.48375,-129.75826,2011,7,0.6936005000000001
72.83175,-130.72423999999998,2011,7,0.6200036
73.17475,-131.72949,2011,7,0.9863136
75.10225,-138.691,2011,7,1.1912436000000002
75.3985,-140.02425,2011,7,0.6600818
75.68625,-141.41075,2011,7,0.5179054
75.9655,-142.85324,2011,7,0.78927255
76.23475,-144.35299999999995,2011,7,0.65088546
76.49425,-145.91101,2011,7,0.6590791
76.7435,-147.52875,2011,7,0.75218916
70.173004,-122.87275,2011,7,0.58809423
70.555504,-123.5975,2011,7,0.48300087
70.935,-124.351,2011,7,0.57000613
71.310745,-125.134,2011,7,0.34939929999999997
71.68200999999998,-125.949005,2011,7,0.5339168000000001
72.04974,-126.79775,2011,7,0.5702927
72.41275,-127.681,2011,7,0.47398567
72.77175,-128.60101,2011,7,0.9509549999999999
73.126,-129.55973999999998,2011,7,0.6805744
73.47475,-130.5585,2011,7,0.83329964
75.44075,-137.517,2011,7,1.0886938999999998
75.744,-138.85675,2011,7,0.8751576999999999
76.0385,-140.25375,2011,7,0.61379826
76.3245,-141.70999,2011,7,0.828947
76.60125,-143.22675,2011,7,0.75075483
76.86774399999999,-144.80624,2011,7,0.75827867
69.6335,-120.41725,2011,7,0.68750274
70.027,-121.07525,2011,7,0.70635355
70.41725,-121.75951,2011,7,0.65299904
70.80525,-122.47125,2011,7,0.7766211999999999
71.569244,-123.98276000000001,2011,7,0.42011845
72.3195,-125.62299999999999,2011,7,0.39971626
72.68825,-126.49525,2011,7,0.5107181
73.05275,-127.40525,2011,7,0.7135997
73.4125,-128.35475,2011,7,0.63847655
73.76725,-129.3455,2011,7,0.79908085
74.1165,-130.38025,2011,7,1.4319694
76.08299,-137.6325,2011,7,1.0189703
76.38475,-139.03775,2011,7,0.9642179
76.678,-140.5055,2011,7,1.071409
76.962,-142.03799999999995,2011,7,0.833551
77.236,-143.63725,2011,7,0.90531665
69.05775,-118.0905,2011,7,0.5134415
69.461,-118.68625,2011,7,0.58852935
69.861496,-119.305,2011,7,0.70759153
70.25925,-119.949005,2011,7,0.6125648
70.65425,-120.61875,2011,7,0.75247204
71.04675,-121.31625,2011,7,0.57352865
72.9555,-125.27225,2011,7,0.56119484
73.3255,-126.17023999999999,2011,7,0.46497992
73.69124599999998,-127.108246,2011,7,0.6370191999999999
74.05174,-128.08875,2011,7,1.0902296999999999
76.41499,-136.34775,2011,7,1.1928427
76.72399999999998,-137.759,2011,7,1.2015638000000002
77.02475,-139.23623999999998,2011,7,1.0722690000000001
77.3165,-140.7825,2011,7,1.020415
77.59825,-142.39975,2011,7,0.9540108
69.2695,-116.98524499999999,2011,7,0.46085262
69.67699999999999,-117.565,2011,7,0.6849045
70.08175,-118.16825,2011,7,0.74310243
70.48375,-118.79625,2011,7,0.7180368
70.88325,-119.45025,2011,7,0.9551738999999999
71.28,-120.1315,2011,7,0.95904
73.59025,-124.895,2011,7,0.42551064
73.961754,-125.81925,2011,7,0.45465958
74.3285,-126.78725,2011,7,0.84065473
74.6905,-127.80075,2011,7,1.1576748
76.739746,-135.0,2011,7,1.4850807
77.0565,-136.41425,2011,7,1.3209046999999998
77.36500500000002,-137.8985,2011,7,1.0738273999999999
77.66475,-139.4555,2011,7,1.147457
77.9545,-141.0885,2011,7,1.0845418
67.807755,-113.814,2011,7,0.47882159999999996
69.06024000000001,-115.31675,2011,7,0.34330577
70.2935,-117.007,2011,7,0.44432327
71.104004,-118.25399999999999,2011,7,0.69411445
71.50525,-118.9185,2011,7,0.5603999
71.90375,-119.6115,2011,7,0.9067111999999999
74.597,-125.43975,2011,7,0.6741858000000001
74.965,-126.43899499999999,2011,7,0.86241
77.38125,-135.0,2011,7,1.6328733
77.697754,-136.48776,2011,7,1.2611298999999998
78.00525,-138.05301,2011,7,1.3428373
67.9895,-112.7335,2011,7,0.6439199000000001
68.412254,-113.198746,2011,7,0.48853925
68.833,-113.682,2011,7,0.50202966
69.252,-114.185005,2011,7,0.35140884
70.49725,-115.821,2011,7,0.45447737
71.31624599999998,-117.03075,2011,7,0.6480011
72.52475,-119.054245,2011,7,0.60292363
74.47725,-123.11125,2011,7,0.8024951
74.855995,-124.046,2011,7,0.8353166
75.2305,-125.02775600000001,2011,7,0.8294928
77.697754,-133.51224,2011,7,1.6805686000000002
78.02251,-135.0,2011,7,1.6697819999999999
78.33875,-136.56923999999998,2011,7,1.7372688000000005
68.16275,-111.63575,2011,7,0.4446365
74.72075,-121.69075,2011,7,1.0082448
75.10574,-122.6045,2011,7,0.97463125
